"","alias","Compartment","Mesocosm","Sample_type","Water_type","Time","Sampling_date","NA_ppm","group","adhP","aliA","badH","bamB","bamD","fadJ","fadN","gabD","mhpD","mhpE","phaZ","pobA","ppk","putA","soxY","soxZ"
"NS.1871.001.IDT_i7_108---IDT_i5_108.60-Mesocosm-6-2-Exp1-D28-Sed","60-Mesocosm-6-2-Exp1-D28-Sed","Sediments","Mesocosm_6","Carex","OSPW","D28","18-08-2021",52.3,"Sediments.Carex.OSPW.D28",88.505,19.83,43.823,328.524,80.814,96.742,155.875,157.755,32.292,14.509,49.338,30.199,249.569,136.46,33.818,18.225
"NS.1871.001.IDT_i7_109---IDT_i5_109.72-Mesocosm-12-2-Exp1-D28-Rhizo","72-Mesocosm-12-2-Exp1-D28-Rhizo","Rhizosphere","Mesocosm_12","Carex","OSPW","D28","18-08-2021",78.5,"Rhizosphere.Carex.OSPW.D28",46.475,11.333,20.483,160.995,37.427,56.404,74.65,78.804,15.285,7.225,32.591,20.898,130.992,76.93,21.886,9.046
"NS.1871.001.IDT_i7_110---IDT_i5_110.96-Mesocosm-12-2-Exp1-D42-Rhizo","96-Mesocosm-12-2-Exp1-D42-Rhizo","Rhizosphere","Mesocosm_12","Carex","OSPW","D42","01-09-2021",44.1,"Rhizosphere.Carex.OSPW.D42",65.537,15.446,24.574,187.474,55.277,67.767,96.809,116.775,20.298,9.985,39.495,32.034,174.568,99.142,30.095,14.785
"NS.1871.001.IDT_i7_111---IDT_i5_111.76-Mesocosm-2-2-Exp1-D42-Racine","76-Mesocosm-2-2-Exp1-D42-Racine","Roots","Mesocosm_2","Carex","OSPW","D42","01-09-2021",40.6,"Roots.Carex.OSPW.D42",9.368,2.46,3.408,32.506,9.793,14.198,25.785,24.27,2.647,2.602,10.596,5.964,42.57,20.107,6.433,3.832
"NS.1871.001.IDT_i7_120---IDT_i5_120.60-Mesocosm-6-2-Exp1-D28-Rhizo","60-Mesocosm-6-2-Exp1-D28-Rhizo","Rhizosphere","Mesocosm_6","Carex","OSPW","D28","18-08-2021",52.3,"Rhizosphere.Carex.OSPW.D28",56.4,12.96,25.008,181.442,47.953,53.184,92.066,105.696,20.352,10.656,30.864,20.304,154.944,91.825,19.584,9.072
"NS.1871.001.IDT_i7_121---IDT_i5_121.76-Mesocosm-2-2-Exp1-D42-Sed","76-Mesocosm-2-2-Exp1-D42-Sed","Sediments","Mesocosm_2","Carex","OSPW","D42","01-09-2021",40.6,"Sediments.Carex.OSPW.D42",69.474,12.192,33.394,251.021,59.383,74.353,123.519,116.216,25.189,12.639,40.253,29.137,200.019,95.827,22.457,14.032
"NS.1871.001.IDT_i7_123---IDT_i5_123.84-Mesocosm-6-2-Exp1-D42-Racine","84-Mesocosm-6-2-Exp1-D42-Racine","Roots","Mesocosm_6","Carex","OSPW","D42","01-09-2021",43.5,"Roots.Carex.OSPW.D42",19.776,5.28,7.92,53.952,20.736,23.808,39.36,55.104,5.568,5.376,19.104,16.608,100.126,46.655,10.704,8.4
"NS.1871.001.IDT_i7_132---IDT_i5_132.61-Mesocosm-7-1-Exp1-D28-Sed","61-Mesocosm-7-1-Exp1-D28-Sed","Sediments","Mesocosm_7","Carex","OSPW","D28","18-08-2021",44.3,"Sediments.Carex.OSPW.D28",87.045,16.179,30.926,241.484,59.527,78.295,118.964,121.548,26.697,12.555,40.932,32.656,189.809,108.011,27.563,13.8
"NS.1871.001.IDT_i7_133---IDT_i5_133.76-Mesocosm-2-2-Exp1-D42-Rhizo","76-Mesocosm-2-2-Exp1-D42-Rhizo","Rhizosphere","Mesocosm_2","Carex","OSPW","D42","01-09-2021",40.6,"Rhizosphere.Carex.OSPW.D42",36.704,9.362,14.818,120.838,33.48,38.502,59.892,60.512,12.338,7.626,20.212,13.764,107.88,47.864,15.438,5.394
"NS.1871.001.IDT_i7_134---IDT_i5_134.59-Mesocosm-6-1-Exp1-D28-Racine","59-Mesocosm-6-1-Exp1-D28-Racine","Roots","Mesocosm_6","Carex","OSPW","D28","18-08-2021",52.3,"Roots.Carex.OSPW.D28",4.687,1.054,1.526,17.327,11.329,6.11,6.736,11.056,2.635,2.845,4.319,2.844,21.598,11.219,2.633,1.107
